Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,163.97037798114468,188.8721027718645,315.14823117966097,248.15195793926006
2,109.08364018107537,59.18820400564173,214.45130447164752,356.1210074014771
3,37.980826892411805,23.518128733128997,131.8366427029689,250.69122271143476
4,61.85460834744908,113.91859499057992,79.01592539504242,80.4574460850951
5,69.98132947108009,122.41746896048977,86.87592947150081,65.76932781444025
6,71.85662079989105,124.41461904713792,89.18737460671854,61.29039962077388
7,72.17511406422689,124.57215866828213,90.59322956620443,60.39038361543051
8,70.89734090198189,123.01372938305347,89.77278461225652,58.14467285833546
9,69.67915265169641,121.01652953631326,89.78776667004362,56.2871209834274
10,67.45869607682418,118.18262363828413,87.87327732704775,55.496901182177
11,66.59770777541367,116.56313615440612,87.91902513136408,53.41188194999458
12,65.50524703767404,114.89450159532868,87.50014664159195,52.99652870211322
13,64.69748255883427,113.16787513808916,87.98266771768226,52.1130452147564
14,62.83148516196616,110.17079405843762,87.19879409515202,51.73950481496676
15,60.725247785074714,107.19309268574003,85.55371470507777,51.20588593148306
16,59.75366452870921,105.33078000371134,85.57450221850048,48.418512125203655
17,58.77711078902773,103.29527397257918,85.73540438272786,48.04481789198854
18,57.31483179786269,100.71901345738414,85.57359458664789,47.91603458893841
19,56.59754895054924,98.8519450921104,86.1191246579224,47.57195978940347
20,54.093963934092464,95.18922657460627,84.46039803367836,43.40589442641737
21,53.26178944772042,93.1704780469335,84.6635264874813,44.299192167229315
22,52.29264804932092,90.87932721567799,84.3622956325108,42.1263594221276
23,50.62010345978472,87.40637753020663,81.71194683195196,40.043458589729795
24,49.688920194841074,85.64591795206964,80.89971412299317,39.493173585296184
25,48.612618536706854,83.39459795078726,79.01601139000772,38.104167938210466
26,47.52865773078942,81.15413586078245,77.98749380105858,36.31267035899756
27,47.158390093772624,79.30896343007605,77.84976005995922,35.30423974476401
28,46.90392248454153,77.69422776746377,77.69531856200487,35.70185201368955
29,45.77754528119461,75.63242997369855,75.65093361547171,32.987597080557585
30,44.7889531656042,71.57526265160618,73.24356956475297,30.29013090101375
31,43.47507052370641,68.67250939202889,70.10765233562527,29.006602436789127
32,43.89539622345724,67.39306815022498,69.75768816889807,28.368232635027088
33,43.38886678065917,64.76506808905847,67.26951020452258,26.01636370582333
34,42.578878918482594,61.92648094541795,64.37571761883692,22.202857469308423
35,42.44249270662118,59.93840105367027,62.74369624409281,22.607385366395146
36,42.70973991912937,57.19580617833398,60.929441978462904,20.346923349176464
37,41.88356694049673,54.29806550544077,57.85966379385888,18.76953181321562
38,41.5766383002698,52.300561172549905,56.715380530234626,16.863777951613677
39,39.70106917084383,49.61053194832316,53.03490181975466,13.338815576456208
40,37.98766513235709,47.30886122589472,51.94055018044843,13.060982050677184
41,35.17983938376535,44.209606002054954,48.790768401670476,10.19425590805538
42,33.9393754503324,42.9440123215274,48.30655281466579,9.704646247386997
43,32.531652348526144,40.94411661053052,47.28887833051192,9.86062953912238
44,30.56784231818191,37.77118485923655,44.15762724794496,7.2620607513753574
45,27.516206704638474,35.34078001007169,42.075539337203644,6.108695574205536
46,25.50999605618226,32.51164961949447,39.63508969087638,6.761231821938706
47,23.31046987258193,29.868526872396863,37.362205755382014,7.338724726121176
48,21.728361722069984,27.772347521255515,34.61156315606162,7.7169394626140475
49,19.473597731433745,25.29581385158301,33.069646453083784,6.546785741890777
50,17.462033387542593,22.97807894020694,30.868120417025672,5.053644756491155
51,16.495857077195648,20.67300707413662,28.899464556531303,5.44831746981894
52,14.805241502334873,19.255711131556325,27.449958494110973,5.554424123164223
53,13.54230669085911,17.500657017130052,25.828020878400974,5.586758145683299
54,12.489076410865628,15.939024303879599,23.584474686689106,6.33338314294356
55,10.539512965769449,13.602638975251738,21.869500075948483,5.012807793778935
56,9.854538175421007,12.689878915823932,21.146140594649008,5.2733672067403425
57,8.72538141268489,11.57804040732301,19.658812041955198,4.667823807055476
58,7.366658817200095,10.038563415894023,17.89162401834882,4.952716072838037
59,6.69926875348626,9.203173221403008,16.553068047679492,4.966089884668967
60,6.355659062871421,8.667314462596153,15.409364306893213,5.252160006728773
61,5.842089454109141,8.194557452861115,12.959436492125356,5.160100485531439
62,5.667961261508187,8.312709836770377,11.935384645356294,4.716924561376281
63,5.81741866618257,8.65206633667254,10.757259565740096,4.921626467690046
64,5.33830770591237,9.54881374202107,7.256763782148317,4.738644572272081
65,5.73001645186281,10.443920317590292,6.752428933329376,5.379099732087924
