Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,0,0,0,0
2,118.27312290839878,63.063131617230425,209.48183709341794,362.11780335660865
3,87.06367576012292,40.50483721962644,197.81928122671087,329.2870484059619
4,37.315469056366275,88.79080321997905,69.14128846666804,126.74292660912425
5,69.6201669761873,120.98982586611494,85.67520962463055,68.60545662492771
6,74.55341003948426,125.79155369696211,90.63292669083393,58.51648283515415
7,75.24854553457948,126.07062401804014,93.09320990851042,63.19478496517698
8,75.70410228591238,126.09517800585438,95.0988625731125,64.90527559916637
9,73.44482822458147,123.64484588978218,91.89747004467074,62.208872710473955
10,72.98836423887026,122.77733634469544,92.29494497873641,63.21460065495558
11,72.71852367498774,122.11445935523604,92.25460542458045,60.12295016315091
12,71.90043749951712,120.47502876236445,92.23944719189372,60.53254781832312
13,71.21347586713219,119.43945618099319,93.1484005328447,65.39820707044515
14,70.96706029716428,118.8153441953123,93.47930076893036,64.78029706577556
15,70.45232454054097,117.92657444627787,93.14613839408185,62.37745955289901
16,69.11531628506499,116.13511006452802,91.76695475625222,60.41338418295572
17,68.13776209769367,114.7808461935402,90.84220271932786,58.420041753769866
18,67.295546478785,113.45055581886983,90.29216010435545,57.856207735941574
19,67.15966100336749,112.79573996633665,90.99435662426336,58.977108430067155
20,65.7203118936845,110.97157950516718,89.33823544434615,58.25992883902253
21,65.07111285207074,109.7394293096974,89.1709035747013,57.71627506601974
22,64.4131788584404,108.64979575633636,88.68225817598156,54.36125796581047
23,64.03504036657024,107.46518736281703,89.39366888847137,56.55188490012095
24,63.795705729116,106.49549977224989,90.03955389222486,54.51202629623535
25,63.025909789558355,105.23696627810749,89.63190150541368,54.52331946129428
26,60.715054626653405,102.45215391803637,86.6686649766343,50.5472968752158
27,60.759752861426264,101.56683127050798,88.00082038706438,49.91920369257779
28,60.69290237269358,100.62860632479675,89.03124033640508,51.10635021204606
29,58.29930920880435,97.76837523106158,85.81880607015023,49.57798330068802
30,60.080080668645685,98.00703344282437,90.17576759605501,54.62218531559968
31,58.60187527019027,96.2125151478585,88.05728660732085,49.27089871207684
32,57.43207373941108,94.6803466612239,87.22370724925283,47.2255944217388
33,56.17244869883763,92.67080644900612,85.49183735476954,46.118823220900545
34,55.677984607162614,91.1744346153826,84.7776274445472,44.18761250839566
35,55.7340155293536,89.58855310923252,85.18783071915992,47.13088193473131
36,55.52931997228348,88.13854177944633,85.13761112491028,49.14668546415996
37,54.950718359715665,87.15238643970267,84.21308431963634,45.29074954065447
38,52.97512169733522,84.39149549250396,80.48750226932181,42.09045342394056
39,51.4613878339695,82.10888622022237,78.2794048398781,37.69476365351924
40,51.85784161652615,81.63260973797357,79.10084051953643,39.254288513459734
41,50.923003228092014,79.83231877239749,77.23413033279986,38.69285405610343
42,50.820800133414465,78.94694480813371,76.88547865066715,37.99510385498396
43,49.39916625052631,76.68534516614463,73.57303196109424,36.449839275713956
44,49.30234149679986,75.24515952754574,73.37500297708387,36.07476772014684
45,49.66980680363664,74.33052508412192,73.60945973139317,36.26285959592031
46,47.88488654530387,71.85755810156805,69.34467668995144,31.87388349812487
47,47.80534248514515,70.43393603917885,69.00563740541827,32.23085996820728
48,47.584819839170656,68.3574370489021,67.57561207652596,31.64438379728924
49,46.74892432331375,67.00920712197245,65.90162992604691,28.110106742446785
50,46.058708305494875,64.32169030570039,63.413074296104384,28.571078686875026
51,44.498733036156345,61.636222763777276,59.67601842064366,26.25527798122685
52,46.15198191606817,61.36336441122317,61.897834013969245,27.58638420080689
53,47.17313977392217,60.38833493650391,62.92817158939151,29.242589793430678
54,44.61921353401773,57.4245687173887,57.50465216106029,22.258461909208616
55,44.649495724717184,55.123115096183966,55.955769228004534,23.784748811216662
56,43.74482544871297,53.41424619585648,53.599771554110234,21.155796066813572
57,43.839839412444384,51.83555074117712,52.75512911053073,18.597030643711253
58,44.51171730841097,50.18692308157435,52.53361788246453,18.75000454152321
59,44.22843181040052,48.74647042154258,51.06575980667856,18.91957493607993
60,42.86974889092034,45.9597049520764,46.58896162535545,14.704718647463197
61,42.1886630784783,43.12489329463704,43.73150618432178,10.838796811164329
62,43.422932291192744,41.93187537705957,45.02186414679936,14.003129645794587
63,43.06783694186612,40.38921026618049,44.118826942221965,14.115049661223924
64,40.328845999527424,37.76323117731464,39.50670909690589,7.2833578605938225
65,39.60799555558298,36.230194533349454,38.86839734919094,8.491904038103534
66,38.022252922040295,34.7109924524562,37.19346689931594,5.794936812796871
67,37.704940860287,33.7161226326033,37.31368637288253,8.860311096080602
68,36.217895161503414,31.695690043471267,35.04680593216331,7.0072821080518475
69,35.053802800464005,30.587503258562883,34.56827609896467,8.849836132998655
70,32.53013767902,28.061298005435454,30.903456960161947,6.140231253785042
71,31.133925311860942,26.582736068222818,29.82625767139307,5.976383463097548
72,29.860625176664552,25.12418732294297,27.652935113206045,4.988631462735584
73,27.173293035348195,22.19837235949357,24.79490480471279,3.2737089953472234
