Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,164.06777433431077,188.8409239495193,315.1473770911169,248.38142530218778
2,117.87849589097864,63.12610889979084,210.54606342650982,362.13480732038335
3,85.45859218934011,38.597278577199305,195.0576563453346,326.9700852294737
4,46.30429584858014,98.93297118405181,68.63640831412935,106.03341136512564
5,67.42576259466395,120.35636393332774,82.97199505957401,66.28995384989685
6,71.47550338038788,124.33989740490543,88.53734027966071,63.52861620283825
7,70.942198039362,123.70676197038227,88.84464306374733,60.81726796203853
8,69.2428795674815,121.4992117127065,87.99026698238521,62.0507819597341
9,68.80247119758864,120.6797061820877,88.03897149203225,59.04893863247804
