Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,104.43191930302504,115.78501312272715,136.211728250556,226.72974907731384
2,125.42067099842036,64.96944102588468,198.31203436506192,364.4705270588801
3,37.00982267030561,24.06762631959926,130.05490399540486,249.4564756798603
4,53.34868717823713,106.10527146821813,71.17039267199566,89.93757624785748
5,68.10086725046865,120.71897708508178,84.65948451955772,66.56420888755504
6,72.16799501746586,124.80373579756636,89.39361358356996,57.798877328110834
7,72.51578843617786,124.81989438592811,90.86872549749936,56.98592830452074
8,71.19352327397696,122.49083133417182,90.42898639556275,56.752629422628
9,69.75726235431978,120.81389532622003,90.15580695265366,55.99146573773055
10,67.76123132609392,117.19570343244219,89.21548408372676,53.95020034968496
11,66.95225136798652,116.20233640625776,89.55905853791081,54.124809959660936
12,65.49882630846427,114.29547885368494,88.37197007584788,53.416107506360156
13,64.78694512780311,112.72207167370252,88.82565352287541,52.20352094320995
14,62.77662736252699,110.04548246675235,87.32738384093086,51.183328100794036
15,61.979817073325876,108.79174081789745,87.22432679879572,49.56426443138094
16,61.145126729337505,107.05255576129653,87.60623902631497,48.754510683823945
17,59.46125819427765,104.41511916309882,86.6976797927889,48.175594626549
18,57.87720885046325,101.47824124401467,86.3558549107852,48.201589784324376
19,57.429167464991515,99.74283803080627,87.40514919778504,48.07132543563765
20,56.11867662722137,97.67667507648027,86.43078860488961,45.81258086115744
21,54.794989004561785,94.60189368671081,85.86089548456302,42.96016019172647
22,53.420112617294855,92.47048245860677,85.54303201453301,42.33032867596139
23,52.112878241291405,90.29922454478326,84.12332837195541,41.219024896135146
24,51.01895412613243,87.79144659693644,82.70085570505968,40.244297199824096
25,50.15912711694409,85.90550827654984,81.4646275299143,39.24844332387743
26,49.56296016356025,83.77069071342271,80.67955597748336,38.58873832676602
27,48.46753770161811,80.97036450135339,78.79304712338514,35.66620245783153
28,47.167418161146344,78.60325564185968,77.51039163287393,35.0207783210318
