Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,164.06777433431077,188.8409239495193,315.1494525442805,248.3832868003365
2,107.57037097783251,54.766336452973086,200.76238712031963,350.61008601742026
3,40.39482919518365,91.96032411753535,67.7835281991156,117.6018427466732
4,67.95448270849059,120.14456191607746,83.65269871693381,64.46540559230066
5,71.40997657155626,124.25662463453544,87.71691183524837,57.055233309832175
6,73.45463787020931,126.56349415326508,91.1580400728004,54.91781205201718
7,72.66002574178877,125.91470845861475,90.94935361810562,54.29076069466841
8,72.17155921242649,125.1725881354706,91.53583935147697,55.17567059830515
9,70.73603688704378,123.25647477265194,91.15888635004012,55.574742524531125
10,69.79305641678894,121.63722022633162,91.34421862668711,53.958674100328636
11,68.14538892400829,119.2219497450449,90.43181912041811,53.42438658972002
12,67.2635371912421,117.67309316520237,90.33800343859637,52.19965913269284
13,65.42859469193408,115.09881851481714,89.13778955272585,51.143019586285114
14,64.26143211796052,113.40126755301206,88.52546935571837,49.17191435514941
15,63.574764748794706,111.93858814920499,88.82591436231675,49.08654832201372
