Step,Follower_1_Error,Follower_2_Error,Follower_3_Error,Follower_4_Error
1,0,0,0,0
2,95.59489685846391,48.58704713634676,206.83013285821875,341.1713460506836
3,32.918180409642176,85.57038284668712,67.34368348922722,129.88966107428885
4,68.5825235266417,121.18534643080493,85.42943813262332,67.51365070843664
5,74.05880899186404,127.17439701652145,92.80792422532612,57.73372563627651
6,72.60305048598386,125.7128355578934,92.8321373023822,59.048379438005604
7,72.29103025791427,124.92998736909965,93.50882087753746,59.151958480852116
8,69.9283891031413,122.14954183447693,90.95406479183096,56.358988350326406
9,68.95413509818653,120.29906811713474,90.40738501474661,53.45113002770241
10,67.07004585135262,118.14643698375102,90.11428935816116,57.39418514496934
11,65.42760318730134,115.87429600210403,89.30429103706378,54.692428367410834
12,64.57334108153243,114.41701239206749,89.13933433409015,54.08445055189666
13,62.95126881965185,111.73168101113738,88.59468976133475,53.02517338623678
14,61.124009410051094,109.1864448869526,87.39614491564652,52.08781226753977
15,59.749385299175486,107.27431743740112,86.81856549966366,48.69242068368769
16,58.176092003722914,104.83630791226847,86.12245584933595,48.955673798729066
17,56.53106674586015,102.14161217942427,85.53514455262933,46.601679286811695
18,55.272534821087305,99.68997956222084,85.10519898463029,46.66043672086566
19,55.12072679717984,98.53566461893914,86.44241632818394,44.56336983011194
20,54.077020582641204,96.21065670434716,86.16872699487904,45.79910981453622
21,51.458078090772716,92.32985097445827,83.21818897761608,43.239270278524344
22,51.334311359226525,90.67765062046458,83.74211579734582,43.24256138856168
23,49.450182062982336,87.48423819451459,80.7174607585326,40.723463469093915
24,48.56747312626197,84.4394941914297,79.30745285109114,38.855802112354766
25,48.165029522401035,83.09294637443992,79.12514675939154,38.95235167731486
26,47.166723986849696,81.00118490694243,78.23454411896995,37.50831807419751
27,46.466133009398725,79.17893013232803,76.70126642648688,36.06381174395758
28,44.95181437992869,75.89896144889069,73.9006111825526,34.735356912914476
29,44.82527725100032,73.7309700610408,72.57401233139844,33.25134105189362
30,44.929757334524815,72.48228835518485,71.85393481751616,33.05717282491508
31,44.85349496238834,70.9749048461193,70.68812734245589,31.807276799478373
32,43.42211190199603,67.85678609669864,66.71313375976995,29.93930243604587
33,42.85559342544816,65.4245173431766,64.29651176957626,27.47357635771899
34,42.50445633505969,63.08537292829304,62.064890958555246,24.596305478871052
35,42.515628953332154,59.2979169524168,59.03355140614957,22.67650425066533
36,40.98250785588927,56.430566720753745,55.73839114246838,20.410489497804402
37,40.08550186231564,54.40445592860081,54.29189830960704,19.03812655747331
38,38.09790843320195,52.430519623910335,52.497868922542224,17.29177018963805
39,36.04858868550579,49.7520315374923,50.27188557644493,15.34425941325249
40,34.35542560142659,47.440083801279485,49.17837049008546,14.588801794605903
41,31.942718406081624,44.55332095659778,46.781958476664734,13.4702699857845
42,29.84741813535639,42.56704544524785,44.35564723243053,10.57731818908494
